campaign_id,campaign_name,channel,start_date,end_date,budget
CAMP0001,Tech Deals,Affiliate,2017-09-10,2017-09-22,6586.91
CAMP0002,Customer Appreciation,Facebook,2017-03-11,2017-04-10,39347.23
CAMP0003,Weekend Flash Sale,Facebook,2018-04-02,2018-05-03,41829.08
CAMP0004,Holiday Shopping,Instagram,2018-01-10,2018-02-23,36061.36
CAMP0005,Pet Care Specials,Affiliate,2018-03-14,2018-04-22,38384.9
CAMP0006,Black Friday 2017,Organic,2017-10-16,2017-11-02,46873.13
CAMP0007,Sports & Fitness Sale,Email,2017-01-03,2017-02-04,26893.88
CAMP0008,Back to School,Instagram,2017-06-01,2017-06-20,42488.32
CAMP0009,Summer Sale,Google Search,2017-01-09,2017-02-08,32436.05
CAMP0010,Easter Promotion,Affiliate,2017-08-18,2017-09-13,34038.97
CAMP0011,Valentine's Day Sale,Referral,2017-11-05,2017-11-17,45202.74
CAMP0012,Back to School,Organic,2017-09-19,2017-10-12,36053.68
CAMP0013,Best Sellers Week,Affiliate,2017-12-28,2018-01-19,27392.99
CAMP0014,Spring Savings,Organic,2018-04-08,2018-05-15,19038.63
CAMP0015,Super Deals,Instagram,2017-05-20,2017-06-10,30653.94
CAMP0016,Beauty Essentials,Email,2017-07-24,2017-08-25,8002.15
CAMP0017,Home & Living Sale,Email,2018-04-26,2018-05-24,22422.99
CAMP0018,Mother's Day Campaign,Instagram,2018-03-01,2018-04-12,44581.45
CAMP0019,Gourmet Favorites,Google Search,2017-04-03,2017-05-06,15172.45
CAMP0020,Loyalty Rewards,Google Search,2018-03-04,2018-04-06,19028.6
CAMP0021,Valentine's Day Sale,Referral,2018-02-28,2018-03-13,23633.06
CAMP0022,Free Shipping Week,Referral,2017-10-27,2017-12-11,31089.89
CAMP0023,Spring Savings,Facebook,2017-08-09,2017-09-14,30651.8
CAMP0024,Office Essentials,Organic,2018-01-21,2018-03-01,46696.76
CAMP0025,Easter Promotion,Referral,2018-04-15,2018-05-25,21251.39
CAMP0026,Weekend Flash Sale,Affiliate,2017-12-14,2018-01-04,24981.42
CAMP0027,Free Shipping Week,Affiliate,2017-07-27,2017-08-23,16384.81
CAMP0028,Early Bird Sale,Facebook,2017-08-01,2017-08-25,42596.97
CAMP0029,Home & Living Sale,Organic,2017-04-05,2017-05-17,8635.21
CAMP0030,Mid-Year Sale,Affiliate,2017-05-21,2017-06-10,4711.78
